거래일자,거래시각,계좌ID,거래유형,금액,단위,가맹점,지역,채널,잔액,연령,연체여부
2025-08-04,12:45:25,AC100707,출금,25622,원,롯데마트,충남,모바일,80164.0,20,N
2025-08-09,16:12:40,AC101977,공과금,53245,원,GS25편의점,부산,ATM,1581030.0,20,Y
2025-02-12,19:32:19,AC100094,카드결제,47443,원,요기요,전북,전화,146383.0,20,N
2025-10-02,12:04:34,AC101033,입금,4582,원,,울산,전화,440088.0,33,N
2025-10-14,18:04:13,AC102146,입금,71733,원,다이소,서울,ATM,217136.0,26,N
2025-05-28,19:12:06,AC102175,출금,5455,원,,충북,인터넷뱅킹,228402.0,25,N
2025-10-08,19:20:26,AC100037,출금,37045,원,넷플릭스,전북,모바일,105838.0,32,N
2025-04-15,19:15:57,AC101962,이체,7078,원,KT통신,충남,인터넷뱅킹,271185.0,37,N
2025-10-26,09:32:34,AC101158,공과금,16100,원,CGV,경남,전화,,31,N
2025-12-15,14:18:06,AC101418,이자,63559,원,,전남,전화,41654.0,25,N
2025-01-01,17:19:00,AC100285,대출상환,76667,원,,인천,영업점,122743.0,32,N
2025-12-31,12:05:32,AC101911,수수료,305224,원,KT통신,울산,인터넷뱅킹,70480.0,29,N
2025-10-02,11:13:57,AC102134,카드결제,16042,원,교보문고,,영업점,,36,N
2025-07-01,12:42:44,AC101808,공과금,7536,원,스타벅스,강원,모바일,,26,N
2025-03-24,17:26:58,AC101083,수수료,20296,원,,강원,ATM,480987.0,29,N
2025-03-11,18:43:33,AC100722,카드결제,102790,원,이마트,서울,인터넷뱅킹,217116.0,32,N
2025-07-20,09:39:39,AC100706,입금,4755,원,배달의민족,서울,모바일,,27,N
2025-11-07,20:36:25,AC101092,수수료,59964,원,스타벅스,경남,ATM,122661.0,38,N
2025-01-27,00:59:22,AC100739,수수료,13119,원,넷플릭스,경남,영업점,142381.0,20,Y
2025-04-07,04:25:00,AC101259,대출상환,146892,원,,경북,전화,75302.0,44,N
2025-09-17,19:01:24,AC101000,출금,31400,원,파리바게뜨,전북,영업점,61340.0,20,N
2025-06-20,09:22:26,AC100492,이체,100121,원,메가커피,대전,모바일,63579.0,44,N
2025-07-26,17:12:30,AC101097,이자,68213,원,,세종,ATM,171181.0,30,N
2025-12-31,12:25:13,AC101701,공과금,65510,원,롯데마트,부산,모바일,237811.0,39,N
2025-08-23,09:48:23,AC101989,출금,41425,원,,세종,ATM,110241.0,35,N
2025-05-27,09:36:54,AC100466,입금,328636,원,,부산,모바일,95426.0,49,N
2025-04-03,13:24:55,AC100090,수수료,39033,원,올리브영,울산,모바일,43899.0,20,Y
2025-09-05,15:52:47,AC101592,이자,19094,원,,경남,영업점,184946.0,37,N
2025-09-01,07:38:37,AC101973,입금,8798,원,KT통신,경남,인터넷뱅킹,252536.0,28,N
2025-06-12,17:07:34,AC100751,이자,3376,원,스타벅스,광주,전화,310011.0,27,Y
2025-01-01,21:26:42,AC101224,수수료,40970,원,CGV,울산,ATM,308337.0,21,N
2025-04-09,19:18:11,AC101399,출금,16121,원,CU편의점,광주,전화,274679.0,27,N
2025-07-09,12:27:01,AC101865,이체,48849,원,,충북,영업점,28441.0,34,N
2025-06-07,03:28:06,AC100389,출금,15002,원,쿠팡,강원,모바일,101135.0,21,N
2025-10-11,20:41:24,AC100961,입금,34851,원,롯데마트,,영업점,,38,N
2025-07-18,18:31:00,AC101286,이체,10980,원,무신사,경북,인터넷뱅킹,185556.0,38,N
2025-10-29,20:54:52,AC100221,입금,88629,원,다이소,충남,인터넷뱅킹,57622.0,38,N
2025-08-26,18:33:24,AC101596,이자,47373,원,,강원,영업점,1087305.0,34,N
2025-10-25,13:51:10,AC100627,입금,168898,원,SK주유소,전남,전화,60763.0,25,N
